Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
win,61.4,42.0,208.0,51.4,160.73999999999998,2.795758,44.4,23.6,99.4,47.8,136.02,2.31622
loss,48.2,20.6,84.8,49.2,131.2,1.9744,62.2,23.0,112.4,51.6,133.4,5.938159999999999
loss,54.2,28.0,109.4,58.2,112.5,2.5356399999999994,74.22200000000001,5.6,133.02,47.412,138.68,2.2346999999999997
win,83.2,19.0,77.8,48.812,163.12,2.73244,36.4,29.8,123.4,42.8,157.11999999999998,2.46208
loss,16.0,3.8,80.2,48.0,148.52,1.59004,78.0,20.8,98.2,47.6,168.16,3.07388
loss,44.0,22.8,102.0,53.6,164.71999999999997,2.3353999999999995,58.8,13.6,197.2,45.0,152.02000000000004,2.8337259999999995
win,55.2,14.8,154.2,52.2,162.70000000000002,2.405518,35.4,18.0,77.4,49.8,144.28,1.4367800000000002
win,65.6,67.0,154.2,43.4,126.28000000000002,3.068584,37.6,20.0,124.6,47.4,132.58,1.9736999999999998
loss,46.4,22.2,118.8,46.0,149.38,2.01754,77.8,8.6,83.0,51.4,134.12,2.857906
loss,46.6,42.4,230.6,51.4,158.23999999999998,1.77196,58.8,6.0,110.4,51.0,144.2,2.52278
win,56.4,4.8,85.4,47.2,138.66,2.3301439999999998,38.0,55.4,129.4,51.2,159.92000000000002,1.83702
loss,31.0,31.0,223.6,50.0,105.4,1.9378,58.2,34.4,81.6,49.4,113.23999999999998,2.39724
loss,27.4,45.2,183.6,43.8,170.06,1.9796400000000003,55.2,31.2,208.8,50.2,153.0,2.558024
win,54.0,13.2,88.0,52.8,141.16,3.2815600000000003,55.0,25.2,136.4,49.4,156.32,2.505236
win,64.22200000000001,5.6,129.22,50.012,171.92000000000002,2.9738059999999997,49.8,12.8,25.8,47.4,167.66,2.278528
win,62.4,14.2,81.6,55.4,121.16,2.70669,33.4,21.6,97.8,49.0,135.82,1.9842199999999999
win,49.4,25.4,121.6,48.2,189.06,3.02664,49.622,7.6,190.62,47.612,97.14,2.2121199999999996
loss,26.822000000000003,2.6,50.019999999999996,40.812,103.42,1.8289000000000002,69.4,31.6,88.6,55.6,158.94,3.05706
